Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Schefflera vinosa,SCVI,1,RR10494,51.97,1.86,0.097,0.424,0.299,0.175,50,49,
Schefflera vinosa,SCVI,2,RR10495,50.74,1.64,0.083,0.268,0.336,0.222,61,74,
Schefflera vinosa,SCVI,3,RR10496,50.07,1.63,0.089,0.570,0.292,0.231,61,79,
Siparuna guianensis,SIGU,1,RR10497,48.59,2.11,0.114,0.844,0.383,0.232,71,698,
Siparuna guianensis,SIGU,2,RR10498,46.95,2.04,0.094,1.303,0.833,0.289,143,2954,
Siparuna guianensis,SIGU,3,RR10499,46.51,2.49,0.120,1.454,0.786,0.200,144,1741,
Solanum lycocarpum,SOLY,1,RR10590,47.40,2.93,0.120,0.990,0.283,0.199,60,48,
Solanum lycocarpum,SOLY,2,RR10591,49.18,3.04,0.132,0.787,0.366,0.231,76,70,
Solanum lycocarpum,SOLY,3,RR10592,48.16,2.58,0.103,0.979,0.813,0.260,96,139,
Stryphnodendron adstringens,STAD,1,RR10593,53.50,1.97,0.069,0.229,0.171,0.081,89,69,
Stryphnodendron adstringens,STAD,2,RR10594,52.74,2.13,0.093,0.290,0.158,0.103,58,42,
Stryphnodendron adstringens,STAD,3,RR10595,52.77,2.33,0.090,0.256,0.349,0.122,62,58,
Styrax camporum,STCA,1,RR10500,49.17,1.43,0.078,0.393,0.630,0.269,94,201,
Styrax camporum,STCA,2,RR10501,48.89,1.55,0.076,0.511,0.854,0.219,115,248,
Styrax camporum,STCA,3,RR10502,49.45,1.43,0.070,0.270,0.644,0.282,114,216,
Styrax ferrugineus,STFE,1,RR10503,49.32,1.57,0.065,0.487,0.448,0.228,90,144,
Styrax ferrugineus,STFE,2,RR10504,49.17,1.44,0.075,0.339,0.570,0.255,104,153,
Styrax ferrugineus,STFE,3,RR10505,50.49,1.51,0.071,0.459,0.382,0.216,90,139,
Styrax pohlii,STPO,1,RR10506,50.52,1.69,0.085,0.510,0.536,0.232,97,101,
Stryphnodendron rotundifolium,STRO,1,RR10507,51.12,2.63,0.106,0.546,0.193,0.138,99,69,
